Ministry,Institution,Title,Title French
ABORIGINAL AFFAIRS,ASSISTANT DEPUTY MINISTER'S OFFICE - NEGOTIATIONS AND RECONCILIATION DIVISION,Employment Application Inventory,Repertoire des demandes d'emploi
ABORIGINAL AFFAIRS,ASSISTANT DEPUTY MINISTER'S OFFICE - NEGOTIATIONS AND RECONCILIATION DIVISION,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ABORIGINAL AFFAIRS,ASSISTANT DEPUTY MINISTER'S OFFICE - NEGOTIATIONS AND RECONCILIATION DIVISION,Litigation Files,Litiges
ABORIGINAL AFFAIRS,ASSISTANT DEPUTY MINISTER'S OFFICE - NEGOTIATIONS AND RECONCILIATION DIVISION,Travel/Expense Accounts,Frais de deplacement et de representation
"AGRICULTURE, FOOD AND RURAL AFFAIRS",BUSINESS PLANNING AND FINANCIAL MANAGEMENT BRANCH,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"AGRICULTURE, FOOD AND RURAL AFFAIRS",LEGAL SERVICES BRANCH,Job Application Inventory Files,Dossiers de l inventaire des demandes d emploi
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,Employment Application Inventory,Repertoire des demandes d'emploi
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,Grievances and Applications,Griefs
"AGRICULTURE, FOOD AND RURAL AFFAIRS",LEGAL SERVICES BRANCH,Litigation Files,Litiges
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,Medical Information (Personnel),Renseignements medicaux (Personnel)
"AGRICULTURE, FOOD AND RURAL AFFAIRS",LEGAL SERVICES BRANCH,Ombudsman/Human Rights Commission,Ombudsman/Commission des droits de la personne
"AGRICULTURE, FOOD AND RURAL AFFAIRS",LEGAL SERVICES BRANCH,Performance Management,Gestion du rendement
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,Performance Management,Gestion du rendement
