Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
Health care,"Energy, Northern Development and Mines",Greater Sudbury,St. Joseph's Health Centre Long Term Care ,Complete,Feb-15,Construction of new building,"128 long-term care beds, café, gathering areas and hair salon",Sudbury,Northeast,4690 Municipal Rd 15,P0M 1L0,,21500000,,Yes,,Yes,http://www.sjsudbury.com/index.php/villa-st-gabriel-villa/,46.650168,-80.943734
Health care,"Energy, Northern Development and Mines",Mattawa,Mattawa Rural Northern Health Hub,Complete,Dec-18,"Construct and equip an additional 7,080 sf on the existing hospital site, in concert with the relocation and construction of the new Algonquin Nursing Home.",Provide fully integrated quality health services while building on existing assets,Nipissing,Northeast,217 Turcotte Park Road,P0H1V0,,0,,Yes,,Yes,,46.31427,-78.72065
Health care,"Energy, Northern Development and Mines",Nipissing District,Nipissing Serenity Hospice,Complete,To Be Determined,Construct a 10-bed hospice.,,Parry Sound,Northeast,799 John Street,P1B 8T2,,8000000,Yes,Yes,,,,,
Health care,"Energy, Northern Development and Mines",Nipissing District,Nipissing Serenity Hospice,Complete,To Be Determined,Community residential hospice,Construction of 10 bed hospice.,Parry Sound,Northeast,799 John Street,P1B 8T2,,8000000,Yes,Yes,,,,,
Health care,"Energy, Northern Development and Mines",Nipissing District,"Algonquin Nursing Home - New Respite Care Services, Hospice Suite and Indigenous Healing Room",Complete,To Be Determined,"The Rural Health Hub project was initiated as a result of the Ministry of Health and Long Term Care's approval to award the Algonquin Nursing Home $15,000,000 to relocate and reconstruct the home on the Mattawa Hospital site. Project consist of the capital construction (7080 sf) and equipment costs associated with the addition of the following services on the existing hospital site, in concert with the relocation and construction of the new Algonquin Nursing Home.",Construction of a health hub and 1 hospice bed.,Parry Sound,Northeast,217 Turcotte Park Road,P0V 1V0,,18700000,,Yes,,Yes,,,
Health care,"Energy, Northern Development and Mines",Thunder Bay,Thunder Bay Regional Health Sciences Centre Regional Data Centre,Complete,Dec-18,Relocation and expansion of data centre,"New 4,500-sq. ft data centre to provide improved health-care data management services for all hospitals in Northern Ontario.",Thunder Bay,Northwest,1040 Oliver Rd.,P7B 6V4,,0,,Yes,Yes,Yes,,48.42,-89.26
Health care,Health,Atikokan,Atikokan General Hospital - Renovation and Expansion,Complete,Jul-17,"Renovating roughly 8,500 sq. ft. and adding roughly 10,000 sq. ft.","More space for 11 acute-care and other types of beds, as well as improved air handling, boiler and sprinkler systems",Rainy River,Northwest,120 Dorothy St,P0T 1C0,,0,,Yes,,Yes,http://www.aghospital.on.ca/about/whatsNew.php?news=93,48.753595,-91.598441
Health care,Health,Barrie,The Royal Victoria Hospital of Barrie - Phase 1 Redevelopment,Complete,Aug-13,Construction of  4 bunker-3 machines at the Simcoe Muskoka Regional Cancer Centre (SMRCC) and the Phase 1 redevelopment of the Royal Victoria Hospital. ,"An additional 101 inpatient beds, expanded emergency and ambulatory care, two new operating rooms as well as enhancements to related services such as laboratory and diagnostic imaging. ",Simcoe,Central,201 Georgian Dr,L4M 6M2,,372605793,,Yes,,Yes,,44.415046,-79.662803
Health care,Health,Belleville,Quinte Healthcare Corporation - Belleville Phase 2 and 3,Complete,Mar-15,"Demolition of a hospital wing, construction of 25 additional medical/surgical beds, expansion of the emergency services and the laboratory, relocation of acute mental health services, outpatient oncology unit and cardiopulmonary services. Phase 3 involves",,Hastings,East,265 Dundas St E,K8N 5A9,,57330761,,Yes,,Yes,,44.162944,-77.364291
Health care,Health,Belleville,Quinte Healthcare Corporation Renovation,Complete,Feb-17,Renovations to the medical device reprocessing department (MDRD) and central sterilization room.,"Improved infection control, and enhanced preventive maintenance capabilities.",Hastings,East,265 Dundas Street East,K8N 5A9,,0,,Yes,,Yes,,44.162698,-77.364334
Health care,Health,Blind River,Anishnawbe Mushkiki AHAC - N'Mninoeayaa AHAC Site,Complete,Mar-15,Construct a satellite building adjacent to the existing facility,Additional file storage and meeting space in Cutler.,Algoma,Northeast,473 ON-17,P0P 1B0,,609200,,Yes,,,,46.187155,-82.924852
Health care,Health,Brampton,William Osler Health System - New Peel Memorial Centre for Integrated Health and Wellness,Complete,Dec-16,Construction of a new centre,"Improved urgent care, ambulatory care, clinical support and corporate administrative services in Brampton",Peel,Central,20 Lynch St,L6W 2Z8,,538347570,,Yes,,Yes,http://www.infrastructureontario.ca/Peel-Memorial-Centre-for-Integrated-Health-and-Wellness/,43.690668,-79.751022
Health care,Health,Brampton,William Osler Health System,Complete,Mar-14,This project involved the demolition and decommissioning of the former Peel Memorial Hospital (Lynch St. Site),,Peel,Central,20 Lynch St,L6W 2Z8,,4374906,,Yes,,Yes,,43.690692,-79.751054
Health care,Health,Brockville,"Brockville General Hospital - Renovation and Expansion for Mental Health, Complex Continuing Care and Rehabilitation",Complete,Aug-20,Consolidating services from two locations into new 4-storey tower,"32 new inpatient beds for complex continuing care, acute mental health and rehabilitation",Leeds and Grenville,East,75 Charles St,K6V 1S8,,159170500,,Yes,,Yes,http://www.infrastructureontario.ca/Brockville-General-Hospital-Redevelopment-Project/,44.598169,-75.681639
Health care,Health,Burlington,Joseph Brant Hospital - Renovation and Expansion,Complete,Aug-18,Construction of new tower and renovations to existing building,"7-storey, 414,920 sq. ft.-tower and 128.225 sq. ft. of renovated space to increase inpatient, surgical and ICU beds and to support expanded services (e.g. specialized nursery, emergency)",Halton,Central,1230 North Shore Blvd E,L7S 1W7,,0,,Yes,,Yes,http://www.infrastructureontario.ca/Joseph-Brant-Hospital/,43.317192,-79.802582
Health care,Health,Cambridge,Cambridge Memorial Hospital - Renovation and Expansion,Under construction,Feb-25,Renovation and new acute care wing,"Additional beds and increased program space, and infrastructure improvement.",Waterloo,Southwest,700 Coronation Blvd,N1R 3G2,,219633062,,Yes,,Yes,http://www.infrastructureontario.ca/Cambridge-Memorial-Hospital/,43.378066,-80.328309
Health care,Health,Centre Wellington,New Groves Memorial Community Hospital,Complete,Feb-20,"Construction of a new hospital located in Aboyne, between Fergus and Elora","New hospital of approximately 130,000 sq ft with 45 inpatient beds",Wellington,Southwest,235 Union St E,N1M 1W3,,144336500,,Yes,,Yes,http://www.infrastructureontario.ca/Groves-Memorial-Community-Hospital/,43.705509,-80.372819
