 Amount ,Ministry,Category,Payment Detail,Recipient,Statutory,Additional Detail
" $5,814 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,Hon. Lisa M. Thompson,No Value,No Value
" $12,193 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Chanda, Pankaj Kumar",No Value,No Value
" $12,766 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Egli, Anna",No Value,No Value
" $10,327 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"French, Stephen Robin",No Value,No Value
" $23,863 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Gagne, Denis",No Value,No Value
" $10,274 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Jones, Brooke",No Value,No Value
" $11,133 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Mol, Christina M",No Value,No Value
" $30,844 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Restoule, Alan Craig Chris Fleet",No Value,No Value
" $17,378 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Sauve, Philippe Joseph Jules",No Value,No Value
" $12,475 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Seguin, Whitney",No Value,No Value
" $16,029 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Simpson, Jonah Winray",No Value,No Value
" $623,859 ","Ministry Of Agriculture, Food And Rural Affairs",Travel Expenses,No Value,"Accounts Under $10,000",No Value,No Value
" $149,451 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,1325581 Ontario Ltd (O/A Bruno's Signature),No Value,No Value
" $172,800 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,1458935 Ontario Limited,No Value,No Value
" $164,902 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,1729787 Ontario Limited (O/A Big Red Markets),No Value,No Value
" $200,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,2130545 Ontario Inc,No Value,No Value
" $147,713 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,2519558 Ontario Ltd,No Value,No Value
" $130,735 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,617885 Ontario Ltd,No Value,No Value
" $263,923,876 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Agricorp,No Value,No Value
" $8,250,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Agricultural Research Institute Of Ontario,No Value,No Value
" $143,460 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Al-Shamas Food Products Ltd,No Value,No Value
" $190,542 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Amir Quality Meats Inc,No Value,No Value
" $198,107 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Arz Group Of Companies Limited (O/A Arz Fine Foods),No Value,No Value
" $170,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ausable Bayfield Conservation Authority,No Value,No Value
" $1,139,990 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Beef Farmers Of Ontario,No Value,No Value
" $519,376 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Bioenterprise Canada Corp,No Value,No Value
" $200,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Breadsource Corporation,No Value,No Value
" $142,758 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Brock University,No Value,No Value
" $162,954 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,C I Hishon Inc,No Value,No Value
" $120,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Camhaven Farms Inc,No Value,No Value
" $148,324 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Canada Meat Group Inc,No Value,No Value
" $252,501 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Canadian Agricultural Human Resource Council (Cahrc)/,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Canadian Blast Freezers Ltd,No Value,No Value
" $192,797 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Canadian Mental Health Association - Ontario Division,No Value,No Value
" $174,276 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Chicken Farmers Of Ontario,No Value,No Value
" $134,622 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Christian Farmers Federation Of Ontario (Cffo),No Value,No Value
" $236,463 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,City Of Ottawa,No Value,No Value
" $211,447 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Clarington Poultry Inc,No Value,No Value
" $200,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Conestoga Meat Packers Ltd,No Value,No Value
" $124,858 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Egg Farmers Of Ontario,No Value,No Value
" $182,455 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ens Poultry Inc,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Exceldor Foods Ltd,No Value,No Value
" $138,110 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Exeter Produce & Storage Company Limited,No Value,No Value
" $133,979 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Fair Finance Fund Inc,No Value,No Value
" $1,208,527 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Farmer's Risk Management Premium Fund,No Value,No Value
" $322,111 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Flower Group Operating Inc,No Value,No Value
" $309,084 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Food And Beverage Ontario,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Franz Roessl Holdings Ltd O/A Franz's Butcher Shop & Catering,No Value,No Value
" $157,411 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,G Brandt Meat Packers Ltd,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Golden Valley Farms Inc,No Value,No Value
" $513,137 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Grain Farmers Of Ontario,No Value,No Value
" $145,932 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Halenda's Fine Foods Ltd,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Hayter's Turkey Products Inc,No Value,No Value
" $122,442 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,High Park Farms Ltd,No Value,No Value
" $291,350 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Holland Marsh Grower's Association,No Value,No Value
" $241,209 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Horticultural Trades Association Inc (O/A Landscape Ontario),No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Jadee Meat Products Limited,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Jbs Foods Canada Ulc,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Kensington Patty Palace Limited,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,King Cole Ducks Ltd,No Value,No Value
" $200,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Lactalis Canada Inc,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Leadbetter Foods Inc,No Value,No Value
" $184,300 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Livestock Research Innovation Corporation (Lric),No Value,No Value
" $164,914 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Lower Thames Valley Conservation Authority,No Value,No Value
" $250,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Molesworth Farm Supply Ltd,No Value,No Value
" $139,520 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Mrakovic Fine Foods Inc,No Value,No Value
" $173,772 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Bayham,No Value,No Value
" $181,233 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Bluewater,No Value,No Value
