_id,Ministry,Ministere,Agency,Organisme,Position,Poste,Member / Membre,Term Start / Debut du mandat,Term End / Fin du mandat,Location / Emplacement
1,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Chair (Part-Time),Présidence (Temps Partiel),Jason Verkaik,2022-03-21,2025-03-20T00:00:00,Tottenham
2,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Dan  Veldman,2020-07-16,2023-07-15T00:00:00,Embro
3,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),John Core,2020-10-22,2023-10-21T00:00:00,Guelph
4,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),Derek Mendez,2021-12-31,2024-12-30T00:00:00,LISTOWEL
5,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),John Kikkert,2022-02-28,2025-02-27T00:00:00,Smithville
6,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),Gregory Vanden Bosch,2022-03-22,2025-03-21T00:00:00,OTTAWA
7,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),Tammy Young,2022-04-07,2025-04-06T00:00:00,Cargill
8,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),Joanne Vanderheyden,2022-04-09,2025-04-08T00:00:00,Mt Brydges
9,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricorp,Agricorp,Member (Part-Time),Membre (Temps Partiel),Dominic Morrissey,2022-07-11,2025-07-10T00:00:00,Uxbridge
10,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Chair (Part-Time),Présidence (Temps Partiel),Lorne Hepworth,2022-01-18,2025-01-17T00:00:00,London
11,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Rose Marie Gage,2021-03-09,2024-03-08T00:00:00,Cumberland
12,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),David  Jenkins,2020-11-30,2023-11-29T00:00:00,Belmont
13,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),David McInnes,2020-11-30,2023-11-29T00:00:00,Ottawa
14,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Nevin McDougall,2020-11-30,2023-11-29T00:00:00,London
15,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Ken Wall,2020-12-07,2023-12-06T00:00:00,Port Burwell
16,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Youbin Zheng,2021-01-21,2024-01-20T00:00:00,Guelph
17,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Jennifer  Doelman,2021-03-08,2024-03-07T00:00:00,Douglas
18,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Denise Hockaday,2021-07-08,2024-07-07T00:00:00,Breslau
19,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Evert Veldhuizen,2022-01-02,2025-01-01T00:00:00,Woodstock
20,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Agricultural Research Institute of Ontario,Institut De Recherche Agricole De L'ontario,Member (Part-Time),Membre (Temps Partiel),Gord Surgeoner,2022-03-13,2025-03-12T00:00:00,Fergus
21,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Chair (Part-Time),Présidence (Temps Partiel),Glenn Walker,2022-01-09,2025-01-08T00:00:00,Chatham
22,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Steve Moutsatsos,2021-05-06,2023-05-05T00:00:00,Sudbury
23,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Marc A. J.  Huneault,2021-05-13,2023-05-12T00:00:00,Sudbury
24,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Robert Fuller,2021-06-03,2023-06-02T00:00:00,Simcoe
25,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Don McNalty,2021-07-07,2023-07-07T00:00:00,Singhampton
26,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),John Johnston,2021-07-08,2023-07-07T00:00:00,Guelph
27,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Christine Greydanus,2021-01-31,2024-01-30T00:00:00,Petrolia
28,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Katie DeBlock Boersma,2021-02-28,2024-02-27T00:00:00,Mitchell
